Site,Weather,Smoothing,Scaler_win,t_0,Scaler_rto
Playa,site,TRUE,90,2/17/2018,0.000717971
Playa,site,TRUE,90,2/24/2018,0.000718703
Playa,site,TRUE,90,3/3/2018,0.000720072
Playa,site,TRUE,90,3/10/2018,0.000720064
Playa,site,TRUE,90,3/17/2018,0.000720593
Playa,site,TRUE,90,3/24/2018,0.000721523
Playa,site,TRUE,90,3/31/2018,0.000723108
Playa,site,TRUE,90,4/7/2018,0.000722631
Playa,site,TRUE,90,4/14/2018,0.000720162
Playa,site,TRUE,90,4/21/2018,0.000719483
Playa,site,TRUE,90,4/28/2018,0.000717891
Playa,site,TRUE,90,5/5/2018,0.000718661
Playa,site,TRUE,90,5/12/2018,0.000715212
Playa,site,TRUE,90,5/19/2018,0.0007136
Playa,site,TRUE,90,5/26/2018,0.000714343
Playa,site,TRUE,90,6/2/2018,0.000710692
Playa,site,TRUE,90,6/9/2018,0.000703615
Playa,site,TRUE,90,6/16/2018,0.000691933
Playa,site,TRUE,90,6/23/2018,0.000683633
Playa,site,TRUE,90,6/30/2018,0.0006753
Playa,site,TRUE,90,7/7/2018,0.000664704
Playa,site,TRUE,90,7/14/2018,0.000652796
Playa,site,TRUE,90,7/21/2018,0.000640957
Playa,site,TRUE,90,7/28/2018,0.00063315
Playa,site,TRUE,90,8/4/2018,0.000626722
Playa,site,TRUE,90,8/11/2018,0.000620411
Playa,site,TRUE,90,8/18/2018,0.000611222
Playa,site,TRUE,90,8/25/2018,0.000602706
Playa,site,TRUE,90,9/1/2018,0.000593638
Playa,site,TRUE,90,9/8/2018,0.000583789
Playa,site,TRUE,90,9/15/2018,0.000575957
Playa,site,TRUE,90,9/22/2018,0.000569673
Playa,site,TRUE,90,9/29/2018,0.000566331
Playa,site,TRUE,90,10/6/2018,0.000563664
Playa,site,TRUE,90,10/13/2018,0.000561541
Playa,site,TRUE,90,10/20/2018,0.000558809
Playa,site,TRUE,90,10/27/2018,0.000551981
Playa,site,TRUE,90,11/3/2018,0.000543281
Playa,site,TRUE,90,11/10/2018,0.00053423
Playa,site,TRUE,90,11/17/2018,0.000526716
Playa,site,TRUE,90,11/24/2018,0.000520664
Playa,site,TRUE,90,12/1/2018,0.000514873
Playa,site,TRUE,90,12/8/2018,0.000510166
Playa,site,TRUE,90,12/15/2018,0.000506359
Playa,site,TRUE,90,12/22/2018,0.0004995
Playa,site,TRUE,90,12/29/2018,0.000490419
Playa,site,TRUE,90,1/5/2019,0.000480582
Playa,site,TRUE,90,1/12/2019,0.000474672
Playa,site,TRUE,90,1/19/2019,0.000471431
Playa,site,TRUE,90,1/26/2019,0.000468806
Playa,site,TRUE,90,2/2/2019,0.00046734
Playa,site,TRUE,90,2/9/2019,0.000467975
Playa,site,TRUE,90,2/16/2019,0.000468587
Playa,site,TRUE,90,2/23/2019,0.000467975
Playa,site,TRUE,90,3/2/2019,0.000465175
Playa,site,TRUE,90,3/9/2019,0.000463562
Playa,site,TRUE,90,3/16/2019,0.000461524
Playa,site,TRUE,90,3/23/2019,0.000460771
Playa,site,TRUE,90,3/30/2019,0.000458442
Playa,site,TRUE,90,4/6/2019,0.000453794
Playa,site,TRUE,90,4/13/2019,0.000446162
Playa,site,TRUE,90,4/20/2019,0.000437881
Playa,site,TRUE,90,4/27/2019,0.000433596
Playa,site,TRUE,90,5/4/2019,0.000432138
Playa,site,TRUE,90,5/11/2019,0.000424071
Playa,site,TRUE,90,5/18/2019,0.000413995
Playa,site,TRUE,90,5/25/2019,0.000403649
La_Margarita,site,TRUE,90,4/9/2016,7.94E-05
La_Margarita,site,TRUE,90,4/16/2016,7.93E-05
La_Margarita,site,TRUE,90,4/23/2016,7.90E-05
La_Margarita,site,TRUE,90,4/30/2016,7.87E-05
La_Margarita,site,TRUE,90,5/7/2016,7.81E-05
La_Margarita,site,TRUE,90,5/14/2016,7.77E-05
La_Margarita,site,TRUE,90,5/21/2016,7.73E-05
La_Margarita,site,TRUE,90,5/28/2016,7.69E-05
La_Margarita,site,TRUE,90,6/4/2016,7.65E-05
La_Margarita,site,TRUE,90,6/11/2016,7.62E-05
La_Margarita,site,TRUE,90,6/18/2016,7.61E-05
La_Margarita,site,TRUE,90,6/25/2016,7.60E-05
La_Margarita,site,TRUE,90,7/2/2016,7.59E-05
La_Margarita,site,TRUE,90,7/9/2016,7.58E-05
La_Margarita,site,TRUE,90,7/16/2016,7.55E-05
La_Margarita,site,TRUE,90,7/23/2016,7.53E-05
La_Margarita,site,TRUE,90,7/30/2016,7.51E-05
La_Margarita,site,TRUE,90,8/6/2016,7.48E-05
La_Margarita,site,TRUE,90,8/13/2016,7.45E-05
La_Margarita,site,TRUE,90,8/20/2016,7.42E-05
La_Margarita,site,TRUE,90,8/27/2016,7.41E-05
La_Margarita,site,TRUE,90,9/3/2016,7.41E-05
La_Margarita,site,TRUE,90,9/10/2016,7.40E-05
La_Margarita,site,TRUE,90,9/17/2016,7.37E-05
La_Margarita,site,TRUE,90,9/24/2016,7.32E-05
La_Margarita,site,TRUE,90,10/1/2016,7.27E-05
La_Margarita,site,TRUE,90,10/8/2016,7.22E-05
La_Margarita,site,TRUE,90,10/15/2016,7.18E-05
La_Margarita,site,TRUE,90,10/22/2016,7.14E-05
La_Margarita,site,TRUE,90,10/29/2016,7.14E-05
La_Margarita,site,TRUE,90,11/5/2016,7.14E-05
La_Margarita,site,TRUE,90,11/12/2016,7.13E-05
La_Margarita,site,TRUE,90,11/19/2016,7.12E-05
La_Margarita,site,TRUE,90,11/26/2016,7.13E-05
La_Margarita,site,TRUE,90,12/3/2016,7.15E-05
La_Margarita,site,TRUE,90,12/10/2016,7.14E-05
La_Margarita,site,TRUE,90,12/17/2016,7.12E-05
La_Margarita,site,TRUE,90,12/24/2016,7.12E-05
La_Margarita,site,TRUE,90,12/31/2016,7.12E-05
La_Margarita,site,TRUE,90,1/7/2017,7.11E-05
